company,industry,role,year,source_platform,source_url,round_number,round_type,round_text
NVIDIA,Semiconductor & GPU,ASIC Verification Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/nvidia-interview-experience-asic-verification-2024,1,Online Assessment,"Online test on HackerRank with 30 MCQs covering Digital Electronics, K-Maps, FSM design, Verilog syntax, and 2 hardware coding questions in Verilog: (1) Synchronous FIFO with status flags and (2) Moore Sequence Detector for pattern 10110 with overlapping."
NVIDIA,Semiconductor & GPU,ASIC Verification Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/nvidia-interview-experience-asic-verification-2024,2,Technical,"Technical Round 1: Deep dive into Static Timing Analysis (STA). Asked to calculate setup and hold slack given clock skew and jitter. Explain metastabilty, MTBF, and multi-flop synchronizers for clock domain crossing (CDC). Gray counter design for async FIFO pointer synchronization."
NVIDIA,Semiconductor & GPU,ASIC Verification Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/nvidia-interview-experience-asic-verification-2024,3,Technical,"Technical Round 2: Computer Architecture focus. Pipelining hazards (Structural, Data, Control). Branch prediction mechanisms (2-bit saturating counter). Cache organization (direct mapped vs set associative), cache write policies (write-through vs write-back), and MESI cache coherency protocol."
NVIDIA,Semiconductor & GPU,ASIC Verification Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/nvidia-interview-experience-asic-verification-2024,4,HR,"NVIDIA Core Values & Fitment: Tell me about a time you optimized hardware for power or area. How do you handle simulation bug deadlocks? Why NVIDIA hardware architecture?"
NVIDIA,Semiconductor & GPU,Physical Design Engineer,2024,AmbitionBox,https://www.ambitionbox.com/interviews/nvidia-physical-design-2024,1,Technical,"ASIC Physical Design Flow: Floorplanning, core-to-IO boundaries, macro placement halos, and power grid IR drop analysis. How CTS minimizes clock skew and insertion delay using H-Tree and Mesh topologies."
NVIDIA,Semiconductor & GPU,Physical Design Engineer,2024,AmbitionBox,https://www.ambitionbox.com/interviews/nvidia-physical-design-2024,2,Technical,"Timing closure and DRC/LVS checks. Setup violation fix by cell upsizing and pipelining. Hold violation fix by buffer insertion. Discussion on Electromigration (EM) rules and Antenna effects."
AMD,Semiconductor & GPU,Silicon Design Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/amd-interview-experience-silicon-design-2024,1,Online Assessment,"MCQs on digital circuits, CMOS inverter characteristics (noise margin, propagation delay, sizing), RC delay models, and setup/hold time calculations with clock skew."
AMD,Semiconductor & GPU,Silicon Design Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/amd-interview-experience-silicon-design-2024,2,Technical,"ASIC RTL coding in Verilog: Write synthesizable round-robin arbiter and carry-lookahead adder. Explain blocking versus non-blocking assignments and how transparent latches are inadvertently inferred."
AMD,Semiconductor & GPU,Silicon Design Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/amd-interview-experience-silicon-design-2024,3,Technical,"Computer Architecture: Zen core microarchitecture, branch target buffer (BTB), speculative execution, and cache coherence protocols across multi-chiplet Infinity Fabric."
Intel,Semiconductor & Silicon,Hardware Engineer / DFT,2024,Naukri Code360,https://www.naukri.com/code360/interview-experiences/intel-hardware-dft-2024,1,Online Assessment,"Assessment covering Boolean algebra, setup and hold time problems, clock tree synthesis basics, stuck-at fault models (Stuck-at-0, Stuck-at-1), and RISC-V instruction decode questions."
Intel,Semiconductor & Silicon,Hardware Engineer / DFT,2024,Naukri Code360,https://www.naukri.com/code360/interview-experiences/intel-hardware-dft-2024,2,Technical,"Design for Testability (DFT): Scan chain insertion, full-scan vs partial-scan, test coverage calculation, and ATPG test vector generation algorithms (PODEM). Memory BIST (MBIST) and March tests."
Intel,Semiconductor & Silicon,Hardware Engineer / DFT,2024,Naukri Code360,https://www.naukri.com/code360/interview-experiences/intel-hardware-dft-2024,3,Technical,"Digital design interview: Design a synchronous Mod-12 counter using JK flip-flops. Draw state transition table, K-maps for J and K inputs, and ensure unused states are self-correcting."
Qualcomm,Fabless Semiconductor & Wireless,Embedded Software Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/qualcomm-interview-experience-embedded-software-2024,1,Online Assessment,"Written assessment with 40 questions: C programming pointers, bitwise operations, volatile keyword, interrupt service routines, and communication buses (UART, SPI, I2C, CAN). Two C coding problems on circular buffer implementation and bit reversal."
Qualcomm,Fabless Semiconductor & Wireless,Embedded Software Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/qualcomm-interview-experience-embedded-software-2024,2,Technical,"Embedded C mastery: Deep explanation of volatile keyword, const volatile pointer, memory segments (.text, .data, .bss, heap, stack). Write macro to set, clear, toggle, and read nth bit. Write interrupt service routine (ISR) rules: why printf and malloc are not allowed in ISR."
Qualcomm,Fabless Semiconductor & Wireless,Embedded Software Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/qualcomm-interview-experience-embedded-software-2024,3,Technical,"RTOS and Protocols: Priority inversion problem and priority inheritance protocol. Mutex vs Binary Semaphore. Difference between SPI and I2C clock stretching, open-drain pullups, and addressing. How DMA offloads CPU during high-throughput packet reception."
Texas Instruments,Analog & Mixed Signal,Analog Design Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/texas-instruments-interview-experience-analog-2024,1,Online Assessment,"Aptitude and Analog Technical test. 20 Aptitude MCQs, 25 Core Analog Electronics questions: transient response of RLC circuits, Op-Amp gain-bandwidth product, Slew Rate calculations, and Barkhausen criteria for oscillators."
Texas Instruments,Analog & Mixed Signal,Analog Design Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/texas-instruments-interview-experience-analog-2024,2,Technical,"Hand-drawn circuit analysis: Deriving closed loop gain of non-inverting op-amp with finite open-loop gain. Slew rate derivation (SR = 2*pi*f*Vp). MOSFET small-signal model: gm and ro calculation for common source with degeneration."
Texas Instruments,Analog & Mixed Signal,Analog Design Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/texas-instruments-interview-experience-analog-2024,3,Technical,"Data converters: Successive Approximation Register (SAR) ADC binary search flow, Flash ADC comparator count, and Delta-Sigma noise shaping. Bandgap reference circuit operation and thermal noise analysis."
Broadcom,Fabless Semiconductor & Wireless,ASIC Verification Engineer,2024,AmbitionBox,https://www.ambitionbox.com/interviews/broadcom-asic-verification-2024,1,Technical,"SystemVerilog OOP testbench architecture: mailboxes, semaphores, fork-join_any/none, virtual interfaces. Constrained-random test generation and functional coverage with covergroups and cross-coverage."
Broadcom,Fabless Semiconductor & Wireless,ASIC Verification Engineer,2024,AmbitionBox,https://www.ambitionbox.com/interviews/broadcom-asic-verification-2024,2,Technical,"UVM Framework: Component hierarchy (driver, monitor, sequencer, scoreboard), TLM ports (put/get/analysis), and UVM execution phases (build_phase, run_phase). SystemVerilog Assertions (SVA) for bus protocols."
Bosch Global Software,Embedded Systems & Automotive,Automotive Firmware Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/bosch-interview-experience-embedded-automotive-2024,1,Online Assessment,"Aptitude, logical reasoning, and C output prediction with pointers and structures. Bitwise operations for microcontroller register manipulation."
Bosch Global Software,Embedded Systems & Automotive,Automotive Firmware Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/bosch-interview-experience-embedded-automotive-2024,2,Technical,"CAN protocol in detail: Differential signaling (CAN_H, CAN_L), bit stuffing, non-destructive arbitration (CSMA/CD + AMP), frame formats. Why dominant bit (0) overwrites recessive bit (1)."
Bosch Global Software,Embedded Systems & Automotive,Automotive Firmware Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/bosch-interview-experience-embedded-automotive-2024,3,Technical,"Sensors and Actuators: Interfacing ADC, temperature sensor calibration, PWM generation for motor H-bridge, watchdog timers, and fail-safe state machines in automotive ECUs."
Micron Technology,Semiconductor & Memory,DRAM / Flash Test & Product Engineer,2024,Naukri Code360,https://www.naukri.com/code360/interview-experiences/micron-test-engineer-2024,1,Technical,"Memory architectures: DRAM 1T1C cell operation, refresh cycles, row precharge, column access latency (CAS latency), and DDR4/DDR5 burst mode. Flash memory floating gate vs charge trap cells."
Micron Technology,Semiconductor & Memory,DRAM / Flash Test & Product Engineer,2024,Naukri Code360,https://www.naukri.com/code360/interview-experiences/micron-test-engineer-2024,2,Technical,"Silicon post-silicon validation: Shmoo plots across voltage and temperature corners, bit error rate (BER) bathtub curves, and Python automation of automated test equipment (ATE)."
