company,industry,role,year,source_platform,source_url,round_number,round_type,round_text
Google,Technology,SDE-1 (Full Time),2024,GeeksforGeeks,https://www.geeksforgeeks.org/google-interview-experience-sde1-2024-1,1,Online Assessment,"Online Assessment on Google platform with 2 problems: 1. Graph traversal using BFS to find minimum steps in a grid with obstacles. 2. Array sliding window and two pointer technique to maximize subarray sum with conditions."
Google,Technology,SDE-1 (Full Time),2024,GeeksforGeeks,https://www.geeksforgeeks.org/google-interview-experience-sde1-2024-1,2,Technical,"Round 1 Technical: Problem on Dynamic Programming with memoization on a tree structure (Maximum independent set). Discussed time and space complexity O(V+E)."
Google,Technology,SDE-1 (Full Time),2024,GeeksforGeeks,https://www.geeksforgeeks.org/google-interview-experience-sde1-2024-1,3,Technical,"Round 2 Technical: Advanced Trie implementation for autocomplete search query suggestions with frequency ranking. Follow up: Handle concurrency with mutex locks in memory."
Google,Technology,SDE-1 (Full Time),2024,GeeksforGeeks,https://www.geeksforgeeks.org/google-interview-experience-sde1-2024-1,4,HR,"Googleyness & Leadership: Tell me about yourself. A time when you had a disagreement with a team member and how you resolved the conflict using data."
Google,Technology,SDE Intern,2025,GeeksforGeeks,https://www.geeksforgeeks.org/google-interview-experience-sde-intern-2025,1,Online Assessment,"Google OA: 2 coding questions. Q1: Binary search on answer (aggressive cows variation). Q2: Graph shortest path using Dijkstra with modified edge weights."
Google,Technology,SDE Intern,2025,GeeksforGeeks,https://www.geeksforgeeks.org/google-interview-experience-sde-intern-2025,2,Technical,"Technical Interview 1: Binary tree lowest common ancestor (LCA) and converting a binary search tree (BST) to a balanced AVL tree. Discussed recursion stack depth."
Google,Technology,SDE Intern,2025,GeeksforGeeks,https://www.geeksforgeeks.org/google-interview-experience-sde-intern-2025,3,Technical,"Technical Interview 2: Dynamic programming (DP on strings - Longest Common Subsequence LCS with 3 strings). Follow up on space optimization using 2 rows."
Google,Technology,SDE Intern,2025,GeeksforGeeks,https://www.geeksforgeeks.org/google-interview-experience-sde-intern-2025,4,HR,"Behavioral & Fitment: Tell me about your most challenging project. What would you do if your project deadline was cut in half?"
Google,Technology,Senior Software Engineer,2023,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/google-swe-senior-2023,1,Technical,"System Design HLD: Design Google Drive file synchronization service. Topics covered: chunking, metadata storage in PostgreSQL, blob storage in S3, message queue with Kafka, and caching with Redis."
Google,Technology,Senior Software Engineer,2023,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/google-swe-senior-2023,2,Technical,"Low Level Design LLD: Object oriented design of a Rate Limiter library using Token Bucket and Sliding Window algorithms. Discussed concurrency, thread safety, and singleton design pattern."
Google,Technology,Senior Software Engineer,2023,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/google-swe-senior-2023,3,Technical,"Coding: Hard graph topological sort with cycle detection for a build dependency resolution engine."
Amazon,E-Commerce & Cloud,SDE-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/amazon-sde1-interview-experience-2024-campus,1,Online Assessment,"Amazon OA: 2 Coding problems on arrays, string manipulation, and prefix sum. Followed by 20 Amazon Leadership Principles (LP) behavioral work style questions."
Amazon,E-Commerce & Cloud,SDE-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/amazon-sde1-interview-experience-2024-campus,2,Technical,"Technical Round 1: Top K Frequent Elements using Min-Heap / Priority Queue. Deep dive into OOP design patterns: Factory pattern vs Abstract Factory."
Amazon,E-Commerce & Cloud,SDE-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/amazon-sde1-interview-experience-2024-campus,3,Technical,"Technical Round 2: LRU Cache implementation using Doubly Linked List and Hashmap. Questions on DBMS: ACID properties, B+ Tree indexing, and SQL joins."
Amazon,E-Commerce & Cloud,SDE-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/amazon-sde1-interview-experience-2024-campus,4,HR,"Bar Raiser / LP Round: Customer Obsession and Bias for Action questions. Describe a time you went above and beyond for a customer. Why Amazon?"
Amazon,E-Commerce & Cloud,SDE Intern,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/amazon-sde-intern-2024-blr,1,Online Assessment,"HackerRank OA: 1. Sliding window maximum. 2. 0/1 Knapsack DP variant for inventory packaging."
Amazon,E-Commerce & Cloud,SDE Intern,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/amazon-sde-intern-2024-blr,2,Technical,"Technical Interview: Binary Tree zigzag level order traversal and Dijkstra's algorithm for shortest delivery route. Questions on OS deadlock and semaphore."
Amazon,E-Commerce & Cloud,SDE Intern,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/amazon-sde-intern-2024-blr,3,HR,"HR Round: Tell me about yourself. Strengths and weaknesses. A time when you had to learn a technology quickly under tight pressure."
Amazon,E-Commerce & Cloud,SDE-2 Backend,2023,GeeksforGeeks,https://www.geeksforgeeks.org/amazon-sde2-backend-interview-2023,1,Technical,"System Design: Design an e-commerce order management system handling 50k requests/sec. Addressed database sharding, distributed locking with Redis, Kafka for asynchronous event processing."
Amazon,E-Commerce & Cloud,SDE-2 Backend,2023,GeeksforGeeks,https://www.geeksforgeeks.org/amazon-sde2-backend-interview-2023,2,Technical,"Coding: Graph bipartite checking and finding bridges/articulation points in network topology. Detailed questions on TCP handshake and HTTP vs HTTPS."
Microsoft,Technology,Software Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/microsoft-interview-experience-swe-2024,1,Online Assessment,"Codility OA: 3 coding problems: 1. Array prefix sum. 2. Binary search on 2D matrix. 3. Graph BFS for island perimeter."
